parameter,sparsity,top1,top5,loss
module.layer2.0.downsample.0.weight,0.65,75.9,92.83399999999999,0.9673193308467767
module.layer2.0.downsample.0.weight,0.7000000000000001,75.862,92.796,0.9695669775258519
module.layer2.0.downsample.0.weight,0.75,75.75,92.768,0.9715112610434999
module.layer2.0.downsample.0.weight,0.8,75.682,92.762,0.9732222076581453
module.layer2.0.downsample.0.weight,0.8500000000000001,75.46,92.656,0.9821916896165633
module.layer2.0.downsample.0.weight,0.9,75.002,92.41,1.0023130797305886
module.layer2.1.conv1.weight,0.0,76.13,92.862,0.9646787427517838
module.layer2.1.conv1.weight,0.05,76.13,92.862,0.9646787539276542
module.layer2.1.conv1.weight,0.1,76.13,92.862,0.9646787437401257
module.layer2.1.conv1.weight,0.15000000000000002,76.13,92.862,0.9646814981741562
module.layer2.1.conv1.weight,0.2,76.128,92.86,0.964676452002355
module.layer2.1.conv1.weight,0.25,76.128,92.864,0.9646557596873265
module.layer2.1.conv1.weight,0.30000000000000004,76.122,92.862,0.9646744663465994
module.layer2.1.conv1.weight,0.35000000000000003,76.134,92.864,0.9646800661421552
module.layer2.1.conv1.weight,0.4,76.12400000000001,92.862,0.9647031564797676
module.layer2.1.conv1.weight,0.45,76.114,92.88,0.9646760559051618
module.layer2.1.conv1.weight,0.5,76.09,92.88,0.9645903171325213
module.layer2.1.conv1.weight,0.55,76.098,92.874,0.9647525035757187
module.layer2.1.conv1.weight,0.6000000000000001,76.048,92.888,0.9647888517653457
module.layer2.1.conv1.weight,0.65,76.09,92.88,0.9649710334381284
module.layer2.1.conv1.weight,0.7000000000000001,76.09,92.908,0.9652823827856661
module.layer2.1.conv1.weight,0.75,76.09,92.93400000000001,0.9653826811331876
module.layer2.1.conv1.weight,0.8,76.094,92.944,0.9656825208542298
module.layer2.1.conv1.weight,0.8500000000000001,76.03800000000001,92.95,0.9666069295941568
module.layer2.1.conv1.weight,0.9,75.872,92.926,0.9697616726768259
module.layer2.1.conv2.weight,0.0,76.13,92.862,0.9646787427517838
module.layer2.1.conv2.weight,0.05,76.12400000000001,92.862,0.9646881242491759
